Comment,Designator,Footprint,LCSC
27p,"C1, C2, rC1, rC2",0402,C1557
100n,"C10, C12, C13, C14, C15, C3, C4, C7, C9, rC10, rC12, rC13, rC14, rC15, rC3, rC4, rC7, rC9",0402,C1525
10u,"C11, C6, rC11, rC6",0402,C15525
1u,"C16, C5, C8, rC16, rC5, rC8",0402,C52923
1N4148WT,"D1, rD1",D_SOD-523,C232841
1N4148WS,"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D5, D6, D7, D8, D9",D_SOD-523,C232841
BSMD0603-050-12V,"F1, rF1",0603,C2844464
TYPE-C-31-M-13C,"J1, J2, J5, rJ1",TYPE-C-31-M-13C,C2848620
YS-SK6812MINI-E,"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED3, LED4, LED5, LED6, LED7, LED8, LED9, rLED1, rLED10, rLED11, rLED12, rLED13, rLED14, rLED15, rLED16, rLED17, rLED18, rLED19, rLED2, rLED20, rLED21, rLED3, rLED4, rLED5, rLED6, rLED7, rLED8, rLED9",YS-SK6812MINI-E,C5149201
5.1k,"R1, R2, rR1, rR2",0402,C25905
1k,"R3, R6, rR3, rR6",0402,C11702
27,"R4, R5, rR4, rR5",0402,C2909343
10k,"R7, rR7",0402,C25744
TS-1088R-02026,"SMDSW1, SMDSW2, rSMDSW1, rSMDSW2",TS-1088R-02026,C455280
RP2040,"U1, rU1",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
NCP1117LPST33T3G,"U2, rU2",SOT-223-3_TabPin2,C146799
TPD4E05U06DQAR,"U3, rU3",USON-10_2.5x1.0mm_P0.5mm,C138714
W25Q128JVSIQ,"U4, rU4",SOIC-8_5.23x5.23mm_P1.27mm,C113767
12MHz 18pF,"Y1, rY1",Crystal_SMD_3225-4Pin_3.2x2.5mm,C91749
ESD5Z5V0C,"ZD1, rZD1",D_SOD-523,C2901325
