Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,27p,C_0402_1005Metric,-192.4158,94.175,90,bottom
C2,27p,C_0402_1005Metric,-192.4558,96.335,-90,bottom
C3,100n,C_0402_1005Metric,-187.6245,99.28,180,bottom
C4,100n,C_0402_1005Metric,-172.8057,96.055,0,bottom
C5,1u,C_0402_1005Metric,-172.7957,100.27,0,bottom
C6,10u,C_0402_1005Metric,-184.9745,89.65,0,bottom
C7,100n,C_0402_1005Metric,-187.6245,98.13,180,bottom
C8,1u,C_0402_1005Metric,-172.7957,101.31,0,bottom
C9,100n,C_0402_1005Metric,-181.7245,80.875,0,bottom
C10,100n,C_0402_1005Metric,-172.7445,92.86,180,bottom
C11,10u,C_0402_1005Metric,-190.3395,80.77,180,bottom
C12,100n,C_0402_1005Metric,-175.4645,101.77,90,bottom
C13,100n,C_0402_1005Metric,-174.3945,101.77,90,bottom
C14,100n,C_0402_1005Metric,-176.9145,89.85,-90,bottom
C15,100n,C_0402_1005Metric,-172.8057,97.08,0,bottom
C16,1u,C_0402_1005Metric,-175.1745,82.345,180,bottom
D1,1N4148WT,D_SOD-523,-189.4945,101.78,0,bottom
D2,1N4148WS,D_SOD-523,-148.6345,39.15,-90,bottom
D3,1N4148WS,D_SOD-523,-130.2645,64.07,-90,bottom
D4,1N4148WS,D_SOD-523,-130.2545,81.1175,-90,bottom
D5,1N4148WS,D_SOD-523,-130.2545,98.17,-90,bottom
D6,1N4148WS,D_SOD-523,-112.2445,100.41,-90,bottom
D7,1N4148WS,D_SOD-523,-112.237,83.5675,-90,bottom
D8,1N4148WS,D_SOD-523,-112.2445,66.4875,-90,bottom
D9,1N4148WS,D_SOD-523,-122.3645,43.65,-90,bottom
D10,1N4148WS,D_SOD-523,-101.6845,45.03,-90,bottom
D11,1N4148WS,D_SOD-523,-94.2245,68.83,-90,bottom
D12,1N4148WS,D_SOD-523,-94.2245,85.77,-90,bottom
D13,1N4148WS,D_SOD-523,-94.2245,102.88,-90,bottom
D14,1N4148WS,D_SOD-523,-76.2145,100.4575,-90,bottom
D15,1N4148WS,D_SOD-523,-76.207,83.4275,-90,bottom
D16,1N4148WS,D_SOD-523,-76.207,66.4175,-90,bottom
D17,1N4148WS,D_SOD-523,-58.1945,61.69,-90,bottom
D18,1N4148WS,D_SOD-523,-58.1945,78.74,-90,bottom
D19,1N4148WS,D_SOD-523,-58.1945,95.79,-90,bottom
D20,1N4148WS,D_SOD-523,-40.177,95.64,-90,bottom
D21,1N4148WS,D_SOD-523,-40.177,78.71,-90,bottom
D22,1N4148WS,D_SOD-523,-40.1845,61.67,-90,bottom
D23,1N4148WS,D_SOD-523,-181.5445,47.0575,-90,bottom
D24,1N4148WS,D_SOD-523,-196.927,64.05,-90,bottom
D25,1N4148WS,D_SOD-523,-196.927,81.04,-90,bottom
D26,1N4148WS,D_SOD-523,-196.927,98.03,-90,bottom
D27,1N4148WS,D_SOD-523,-214.9445,100.4375,-90,bottom
D28,1N4148WS,D_SOD-523,-214.9445,83.51,-90,bottom
D29,1N4148WS,D_SOD-523,-214.942,66.3975,-90,bottom
D30,1N4148WS,D_SOD-523,-205.6145,42.35,-90,bottom
D31,1N4148WS,D_SOD-523,-225.5045,45.05,-90,bottom
D32,1N4148WS,D_SOD-523,-232.9645,68.73,-90,bottom
D33,1N4148WS,D_SOD-523,-232.957,85.78,-90,bottom
D34,1N4148WS,D_SOD-523,-232.9645,102.73,-90,bottom
D35,1N4148WS,D_SOD-523,-250.9745,100.1975,-90,bottom
D36,1N4148WS,D_SOD-523,-250.9745,83.47,-90,bottom
D37,1N4148WS,D_SOD-523,-250.9745,66.3975,-90,bottom
D38,1N4148WS,D_SOD-523,-268.9945,61.62,-90,bottom
D39,1N4148WS,D_SOD-523,-268.9945,78.59,-90,bottom
D40,1N4148WS,D_SOD-523,-268.987,95.4775,-90,bottom
D41,1N4148WS,D_SOD-523,-287.0045,95.37,-90,bottom
D42,1N4148WS,D_SOD-523,-287.002,78.6,-90,bottom
D43,1N4148WS,D_SOD-523,-287.0045,61.6675,-90,bottom
